age,workclass,race,sex,income
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
retirement,Private,White,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
young adult,Self-emp-inc,White,Male,<=50K
working adult,Private,White,Female,>50K
working adult,Private,White,Male,<=50K
retirement,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,>50K
young adult,Private,White,Male,<=50K
retirement,Private,White,Male,<=50K
childhood,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
retirement,Local-gov,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Local-gov,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,>50K
working adult,Private,White,Female,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,State-gov,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Local-gov,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Female,>50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
young adult,Private,White,Male,<=50K
childhood,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,>50K
young adult,Private,White,Male,<=50K
retirement,Self-emp-not-inc,White,Male,>50K
working adult,Self-emp-not-inc,Asian-Pac-Islander,Male,>50K
working adult,Private,Black,Male,<=50K
working adult,Private,White,Male,>50K
young adult,Private,Black,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Female,<=50K
young adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,Black,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,Asian-Pac-Islander,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
retirement,Local-gov,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,Black,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,Black,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,Asian-Pac-Islander,Female,<=50K
retirement,Self-emp-inc,Asian-Pac-Islander,Male,>50K
retirement,Self-emp-not-inc,White,Male,<=50K
young adult,Private,White,Male,<=50K
young adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,Black,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Local-gov,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,Amer-Indian-Eskimo,Female,<=50K
working adult,Private,Black,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
young adult,Private,White,Female,<=50K
young adult,Private,White,Male,<=50K
working adult,Local-gov,Black,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Self-emp-inc,White,Female,>50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,State-gov,White,Female,>50K
working adult,Private,White,Male,>50K
working adult,Private,Black,Female,<=50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Local-gov,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,Asian-Pac-Islander,Male,>50K
working adult,Private,White,Male,>50K
working adult,Private,White,Female,<=50K
retirement,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
young adult,Private,White,Female,<=50K
working adult,State-gov,White,Male,>50K
retirement,Private,Black,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
young adult,Private,White,Female,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Local-gov,White,Male,>50K
retirement,Private,White,Female,<=50K
working adult,Private,Black,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Federal-gov,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
young adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,State-gov,White,Female,>50K
young adult,Local-gov,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
retirement,Private,Black,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,>50K
working adult,Private,White,Female,<=50K
young adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Local-gov,White,Male,>50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,Black,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Female,<=50K
working adult,Self-emp-inc,Asian-Pac-Islander,Male,<=50K
working adult,Private,White,Female,<=50K
young adult,State-gov,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,Black,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,Black,Female,<=50K
retirement,Private,White,Female,<=50K
young adult,Private,Black,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Local-gov,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
young adult,Local-gov,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,State-gov,White,Female,>50K
childhood,Private,White,Male,<=50K
young adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,Black,Female,<=50K
young adult,Private,Asian-Pac-Islander,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,State-gov,White,Female,>50K
working adult,Private,White,Female,<=50K
young adult,Local-gov,White,Female,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Local-gov,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Federal-gov,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Private,Asian-Pac-Islander,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Male,<=50K
young adult,Self-emp-not-inc,Asian-Pac-Islander,Male,<=50K
retirement,Private,White,Male,<=50K
working adult,Self-emp-inc,White,Female,>50K
working adult,Private,White,Female,<=50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Self-emp-inc,White,Male,<=50K
working adult,Private,Black,Male,<=50K
working adult,Self-emp-not-inc,White,Female,>50K
working adult,Local-gov,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Private,White,Female,>50K
working adult,State-gov,White,Male,<=50K
retirement,Private,White,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Local-gov,White,Female,>50K
working adult,Private,Asian-Pac-Islander,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Federal-gov,White,Female,<=50K
working adult,State-gov,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,Black,Female,<=50K
young adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
retirement,Federal-gov,Black,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,Black,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,>50K
working adult,Self-emp-not-inc,White,Male,>50K
working adult,Federal-gov,Black,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
young adult,Private,White,Male,<=50K
working adult,Federal-gov,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Self-emp-inc,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Self-emp-inc,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,White,Male,<=50K
working adult,State-gov,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,State-gov,White,Female,>50K
young adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,>50K
working adult,Private,White,Female,>50K
working adult,Private,Black,Female,<=50K
retirement,Private,White,Male,>50K
retirement,Self-emp-not-inc,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Female,<=50K
working adult,Private,Black,Female,<=50K
working adult,Private,White,Male,>50K
young adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,State-gov,White,Male,>50K
working adult,Private,White,Female,<=50K
young adult,Local-gov,Asian-Pac-Islander,Male,<=50K
working adult,Private,White,Female,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Federal-gov,Black,Female,<=50K
retirement,Private,White,Male,<=50K
young adult,State-gov,White,Female,<=50K
working adult,Local-gov,White,Male,<=50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Local-gov,Black,Female,<=50K
working adult,Local-gov,White,Male,<=50K
working adult,Private,White,Male,<=50K
young adult,Private,White,Female,<=50K
working adult,Federal-gov,Black,Male,>50K
working adult,Local-gov,White,Male,>50K
working adult,Private,White,Male,<=50K
working adult,Private,White,Male,>50K
working adult,Private,Black,Male,<=50K
working adult,Self-emp-inc,White,Male,>50K
